word	x	y	nearest
心酸	62.4373086361	23.3473460797	0.632
小时	-98.8503306052	-0.146146760791	0.573
不知所措	-3.9239089412	52.5738890164	0.591
不抱	-2.66135923389	27.2593021323	0.517
酱油	63.3277924274	-30.5034597749	0.664
确有	-15.6170883248	21.9858340264	0.511
当起	4.87510369199	30.0925586757	0.494
回来	-14.6039197576	42.8591861792	0.588
四五千	-13.5464918095	-41.4251824804	0.603
过去	0.146958544561	-7.57482293255	0.464
催眠术	17.140606897	4.20913860452	0.509
第三者	30.1042423122	3.31809466006	0.462
男懂	17.9137450989	-19.069739305	0.559
亲情	33.7633820539	14.4559521272	0.507
祖国	47.1759799228	-28.5956678768	0.527
信	-14.5132212155	12.0662805651	0.409
年长	-12.1448296542	-6.85844328799	0.642
突然	-23.0636114706	47.4582995856	0.578
地	-1.90956698857	-11.36519497	0.437
邮筒	-24.2329798101	-68.4140975622	0.514
小小的	18.9674662319	18.5251325475	0.439
日常生活	81.5385202874	-14.8036798202	0.483
简陋	-35.057529348	-54.8581289823	0.517
在	-37.1482816454	-11.597710811	0.578
常使	-19.3250438292	-28.1311813931	0.514
例如	-47.0516884508	-31.3282993099	0.617
此	-49.7656958262	-0.840493387115	0.552
丈八湖	12.8216270601	-24.597433276	0.502
谢谢你们	3.58708473015	19.4782969627	0.642
廉政	57.0977268027	-3.41309339945	0.470
方约	-18.5688819866	-41.5395566385	0.384
了	-40.6620591935	5.53614490048	0.483
像	-27.2742974818	25.2425119002	0.570
释然	-11.8207800036	18.6119535094	0.656
事	12.3420956873	72.3269753205	0.598
健康	49.8233545298	-31.5675698924	0.574
于	-36.9272281874	-10.3559376598	0.578
味道	70.4476929107	-28.5995168103	0.562
王之镜	-2.71820403269	-13.6781528946	0.444
那天	40.5738338545	13.7594081078	0.483
全新	4.13063479962	-21.2418176936	0.452
做些	12.7103945787	67.1271176689	0.597
金线	6.67212428186	-32.4771651337	0.481
故梦	49.8142440774	13.3274236679	0.520
食物	51.9812631433	-33.2116663295	0.707
否则	-85.392186838	22.4427455664	0.636
遇到	-25.9540589272	53.5637338573	0.655
直至	-38.3834023013	-1.76147422218	0.771
亦	-52.5735765835	6.34622800109	0.702
充满信心	-3.09054159144	27.3302432608	0.517
见到	-28.7067170471	56.8848957636	0.708
做	12.7417438217	66.7338097379	0.597
阵挛	-17.0076371883	-28.9636448967	0.645
原稿纸	3.26264239844	-40.8670805285	0.619
认为	-57.4387202585	36.2816337956	0.723
投入	-40.6456950221	-6.5490146975	0.537
人	1.91049094283	-12.1698228642	0.487
漆上	-104.614003316	-16.7656189878	0.500
宽广	-29.4873346304	-50.3564058	0.638
曾经	-44.0967392566	-46.6232063262	0.757
非洲	-61.1391176227	-66.4329764516	0.710
这个	-54.8644131113	-7.38979714183	0.491
每一件	-1.55312732422	21.4380480396	0.576
悲哀	24.0891820265	32.2026513611	0.529
凌晨	-55.5549555256	-44.3060690906	0.543
荒凉	-23.4588853609	-48.0067784691	0.496
啊啊啊	32.3052191042	24.7512962044	0.641
蓝蓝的	54.1474650152	15.8794238612	0.482
真是	38.5323633823	47.5674713961	0.552
酒店	-45.1915459247	-62.8387038379	0.747
惧怕	-5.78764651153	58.2152290864	0.669
指出	-56.3513320943	36.8276036253	0.723
相信	17.4709333993	60.1739601093	0.640
见面	45.7722967419	72.8996597617	0.629
岁月	53.7704856586	12.3435688366	0.601
事情	13.1874963807	71.5926932306	0.598
遇上	-25.5449909211	53.1155757303	0.655
换取	-41.6926335822	30.866152769	0.502
信里	-3.89866292359	32.6364350448	0.491
从军记	51.7756128634	-16.5063889082	0.553
虽然	-63.365244258	15.2400410444	0.785
批量生产	-43.4259228335	-7.30366047391	0.537
始终	-67.0101350524	26.1922466295	0.519
受到	-78.3047657298	-15.1825986843	0.756
过著	83.6417386725	-7.209294164	0.536
安慰	1.62682041104	43.9970435866	0.590
抽屉	-1.34804374374	7.18994588154	0.484
阻止	-40.1001752929	20.3901556714	0.665
镜子	19.0298136212	17.6785997935	0.441
照顾	97.5485341519	5.59915290308	0.691
适应	-27.9278676811	-27.9975816389	0.495
离开	-48.5198011983	56.3840409152	0.724
马昭懿	13.2909765859	-29.7583812621	0.596
千山万水	45.7895821253	8.804312374	0.689
求神	11.3315755401	17.4278096002	0.643
龙飞凤舞	53.7381676182	-3.53576480599	0.539
欢迎	30.1547017968	75.5615408664	0.572
大道理	19.3677078365	-4.84267918115	0.548
事上	-2.65339619887	23.0959618749	0.619
营养	52.4354317093	-33.8297751563	0.707
