word	x	y	nearest
不知所措	22.6878935315	50.4925826667	0.591
黑暗	-34.3061083471	2.71139848001	0.546
简陋	39.5033935069	-34.3291472299	0.517
比赛场地	-70.4146800041	-45.4206141825	0.438
不惜	28.1019881593	82.9292711181	0.533
笔坂明规	-56.6344881587	-40.2560136247	0.557
游泳	-77.278141152	-40.4942432191	0.489
序文	-1.00625495663	-86.511721009	0.480
交给	39.6636738889	29.2070763381	0.555
谈得来	-4.00197199722	30.8565636942	0.476
期望	19.3260842249	71.4633603662	0.577
能否	14.0448461478	81.0700611385	0.610
狂饮	-17.8900023603	25.6997815163	0.527
胃王	-12.6321542224	7.15352467362	0.386
男懂	-43.1499939584	-14.0423149176	0.559
亲情	-17.9507356011	43.6887269405	0.507
不想	-17.6086885187	68.4620727047	0.661
卡通化	15.7320241075	-1.65483970683	0.447
狼皮	-5.23446913937	101.353139345	0.469
子生	-73.3295675107	-11.1401306358	0.548
各有所爱	-63.7125154413	32.9464248585	0.505
地	-10.4706051327	-6.04171186392	0.437
邮筒	2.3838914826	-66.3741046144	0.514
还给	38.4930388859	28.0531303825	0.597
荒芜	28.190501371	-50.1128710522	0.480
走红	-50.5349586075	1.99315434126	0.421
披上	-1.97029600309	103.571789095	0.500
在	41.2473935973	6.83331889584	0.578
是因为	61.7456996402	3.42706372147	0.613
若群	17.0835935108	-18.1597974266	0.526
失脚	-45.585824064	-57.5832267357	0.454
例如	60.3310112569	-23.0470329318	0.617
中华路	-18.1623491509	-69.5202105467	0.598
千兵卫	-38.4861335591	-3.48244126229	0.413
廉政	-77.9445845602	9.62186726992	0.470
了	56.8395204955	22.7690493456	0.483
违法	40.3776130398	87.0216477036	0.459
一封信	24.2619716543	-81.2775090742	0.485
事	3.11959506895	49.8400460305	0.598
于	70.695710187	35.3763800763	0.578
闯进	-8.35264987947	36.1797643852	0.335
胜清	-50.0386642204	-44.7884565203	0.528
体力值	13.2883160722	-5.24945924599	0.528
衣服	-5.75868978874	107.055710847	0.607
口至	-20.9685521065	-66.0803078001	0.539
此书	13.0134454504	-91.0919076581	0.543
故梦	-74.0153574299	2.20344822282	0.520
里教	-20.2623388169	-12.2935704002	0.524
而是	71.0037186939	6.94465616356	0.618
直至	62.3744173943	37.0012511028	0.508
亦	62.9328910496	16.3736967174	0.702
晚风	-84.5644098122	48.3647613151	0.527
西沉时	-66.9593400884	26.9638974667	0.543
即使	73.6733035146	7.03044510804	0.493
劝	52.4425936655	45.5872223631	0.548
人	73.6330094426	-35.2918390577	0.487
永永远远	-30.5738697786	18.0981436472	0.612
曾经	53.4170314465	20.6543273032	0.613
更令	63.3958622021	22.6630891143	0.512
字字珠玑	-25.384280762	-5.89408410778	0.546
悲哀	11.8669560125	47.4208867517	0.466
醉落	-69.8701326972	36.3615875526	0.507
凌晨	111.324469899	-9.06034510989	0.543
荒凉	28.1820774707	-50.1167374226	0.496
信件	22.570952323	-81.5655523012	0.496
书评	15.8549870117	-97.7915151057	0.651
残旧	39.5434933803	-32.9948487135	0.481
日久生情	4.90126230633	76.9274517487	0.552
邻及	-24.7012115527	-41.1179104901	0.503
该次	100.504727455	-25.9614465897	0.569
岁月	-75.1818040132	44.9440651211	0.601
启义	5.71747510702	38.4961871134	0.640
此后	60.501129354	36.7425382623	0.562
两篇	13.1975094493	-91.9327950165	0.655
从军记	-78.8377399046	-1.80929617582	0.553
问候	-68.9663171205	21.5118014163	0.461
安慰	2.96524419322	61.9753611865	0.590
抽屉	26.8164161387	-12.6686040487	0.484
照顾	66.3649927794	-50.3770699143	0.691
米粉	-47.3155426894	-111.049993492	0.634
擢升	-91.0732889151	-50.5541630858	0.580
龙飞凤舞	-77.2847823244	9.74422960407	0.539
丰田公司	-7.47504749423	-32.7179966744	0.482
探测	-8.14121284006	-24.2430750157	0.535
一倍	80.9821870826	-15.7372848122	0.480
朱七七	-73.4313828075	-8.89295156023	0.405
随和	40.2183947448	-67.7562196672	0.707
郑淑华	-46.1606697303	-15.5822136969	0.568
新书	-4.77926114427	-101.954426282	0.675
希望	18.3293200291	72.0093172274	0.629
锐太	-1.89584396735	31.8688808994	0.491
夕阳	-64.5110635343	52.6809720352	0.490
刘虞瑞	-81.6722351621	55.906888161	0.618
聚会所	91.4216076781	-58.2047840495	0.456
护协	-9.66958142083	-10.9022616878	0.478
公益	99.6009135491	-41.8858264202	0.604
强调	46.5396691112	64.0877960852	0.499
心疼	-70.5037265284	62.5144681851	0.540
